PROGRAM,TYPE identifier SUBPROGRAM PROGRAM,void int float boolean
PROGRAM,,$
SUBPROGRAM,FUNCDECL,lparen
SUBPROGRAM,VARDECL,void lbracket int float boolean $
FUNCDECL,PARALIST COMPOUNDSTMT,lparen
VARDECL,DECLARATOR SUBVARDECL,while void stringliteral semicolon return rbrace plus not minus lparen lbracket intliteral int if identifier for floatliteral float continue break boolliteral boolean $
SUBVARDECL,INITDECLARATOR SUBSUBSUBVARDECL,assign
SUBVARDECL,INITDECLARATORLIST semicolon,comma
SUBVARDECL,semicolon,semicolon
SUBSUBSUBVARDECL,INITDECLARATORLIST semicolon,comma
SUBSUBSUBVARDECL,semicolon,semicolon
INITDECLARATORLIST,comma identifier DECLARATOR INITDECLARATOR SUBINITDECLARATORLIST,comma
SUBINITDECLARATORLIST,comma identifier DECLARATOR INITDECLARATOR SUBINITDECLARATORLIST,comma
SUBINITDECLARATORLIST,,semicolon
INITDECLARATOR,assign INITIALISER,assign
DECLARATOR,lbracket SUBDECLARATOR,lbracket
DECLARATOR,,semicolon rparen comma assign
SUBDECLARATOR,rbracket,rbracket
SUBDECLARATOR,intliteral rbracket,intliteral
INITIALISER,EXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
INITIALISER,lbrace EXPR SUBINITIALISER rbrace,lbrace
SUBINITIALISER,comma EXPR SUBINITIALISER,comma
SUBINITIALISER,,rbrace
COMPOUNDSTMT,lbrace SUBCOMPOUNDSTMT rbrace,lbrace
SUBCOMPOUNDSTMT,SUBCOMPOUNDSTMT2 SUBCOMPOUNDSTMT,void int float boolean
SUBCOMPOUNDSTMT,STMT SUBCOMPOUNDSTMT,while stringliteral semicolon return plus not minus lparen intliteral if identifier for floatliteral continue break boolliteral
SUBCOMPOUNDSTMT,,rbrace
SUBCOMPOUNDSTMT2,TYPE identifier VARDECL,void int float boolean
STMT,IFSTMT,if
STMT,FORSTMT,for
STMT,WHILESTMT,while
STMT,BREAKSTMT,break
STMT,CONTINUESTMT,continue
STMT,RETURNSTMT,return
STMT,EXPRSTMT,stringliteral semicolon plus not minus lparen intliteral identifier floatliteral boolliteral
IFSTMT,if lparen EXPR rparen COMPOUNDSTMT ELSESTMT,if
ELSESTMT,else COMPOUNDSTMT,else
ELSESTMT,,while void stringliteral semicolon return rbrace plus not minus lparen intliteral int if identifier for floatliteral float continue break boolliteral boolean
FORSTMT,for lparen MAYBEEXPR semicolon MAYBEEXPR semicolon MAYBEEXPR rparen COMPOUNDSTMT,for
MAYBEEXPR,EXPR,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
MAYBEEXPR,,semicolon rparen
WHILESTMT,while lparen EXPR rparen COMPOUNDSTMT,while
BREAKSTMT,break semicolon,break
CONTINUESTMT,continue semicolon,continue
RETURNSTMT,return MAYBEEXPR semicolon,return
EXPRSTMT,EXPR semicolon,stringliteral plus not minus lparen intliteral identifier floatliteral boolliteral
